Animal ID,Type,Animal Name,Breed,Outgoing Date,Outgoing Status,Source,Source Date,Passed for Rehoming,Date Spay/Neutered,Days In Care,Surrender Reason,Primary Euthanasia Reason,
108668,Dog,Tori,Pit Bull,09/05/2017,Adopted,ACO Impound,08/21/2017,Yes,08/25/2017,15,,,
109258,Dog,,Pit Bull,09/05/2017,Seized Release,ACO Impound,09/05/2017,,,0,,,
109259,Puppy,Diamond,Pit Bull,09/05/2017,Seized Release,ACO Impound,09/05/2017,,,0,,,
109227,Dog,Versachi,Pit Bull,09/05/2017,Reclaimed,Stray,09/04/2017,,,1,,,
109228,Dog,Maggie,Shepherd,09/05/2017,Reclaimed,Stray,09/04/2017,,,1,,,
108954,Puppy,Nelson,Medium Mix Breed,09/05/2017,Adopted,Returns,09/03/2017,Behaviour,09/01/2017,2,,,
108578,Dog,King,Large Mix Breed,09/05/2017,Adopted,ACO Impound,08/18/2017,Yes,08/30/2017,18,,,
108757,Dog,Archer - Rescue Committed,Pit Bull,09/05/2017,Transfer Out,Stray,08/23/2017,Yes,09/05/2017,13,,,
109230,Dog,Zoey,German Shepherd,09/05/2017,Reclaimed,ACO Impound,09/04/2017,,,1,,,
109162,Dog,Lucy,Pit Bull,09/05/2017,Reclaimed,ACO Impound,09/02/2017,,,3,,,
109034,Dog,Vladdy - Use Caution!,Rottweiler,09/05/2017,Euthanized,ACO Impound,08/30/2017,Yes,,6,,Aggressive towards people-6,
109132,Dog,Evelyn,Boxer,09/05/2017,Euthanized,Stray,09/01/2017,,,4,,Untreatable Terminal Illness-5,
109252,Dog,Micah,Labrador,09/05/2017,Euthanized,Euthanasia Request,09/05/2017,,,0,,Owner request -1,
109009,Dog,Behavior Check - Lily,Large Mix Breed,09/05/2017,Euthanized,ACO Impound,08/29/2017,,,7,,Aggressive towards people-6,
109050,Dog,,Pit Bull,09/05/2017,Euthanized,ACO Impound,08/30/2017,,,6,,Aggressive towards people-6,
104985,Dog,Black Betty/ Ruby,Labrador,09/05/2017,Euthanized,Returns,08/31/2017,Behaviour,05/22/2017,5,Bad Temperament,Aggressive towards animals-6,
108999,Dog,Bullet - Behavior Check,Pit Bull,09/05/2017,Euthanized,Owner Surrender,08/29/2017,,,7,Other Reason,Aggressive towards animals-6,
109178,Dog,Echo Behave Check,Labrador,09/05/2017,Euthanized,Stray,09/03/2017,,,2,,Aggressive towards people-6,
109206,Dog,Diesel,English Bulldog,09/05/2017,Euthanized,Owner Surrender,09/03/2017,,,2,No time for animal,Untreatable Terminal Illness-5,
,,,,,,,,,,,,,
73084,Dog,Chase,Coonhound,09/05/2017,Euthanized,Euthanasia Request,09/05/2017,,,0,,Owner request -1,
108675,Dog,Cosmo,Pit Bull,09/05/2017,Euthanized,ACO Impound,08/21/2017,Yes,08/28/2017,15,,Rabies Testing-8,
109136,Dog,,Medium Mix Breed,09/05/2017,Euthanized,Stray,09/01/2017,,,4,,Aggressive towards people-6,
109143,Dog,Behave Check,Rottweiler,09/05/2017,Euthanized,ACO Impound,09/01/2017,,,4,,Aggressive towards people-6,
108961,Dog,Percy,Chihuahua,09/06/2017,Adopted,ACO Impound,08/28/2017,Yes,09/05/2017,9,,,
109014,Dog,Missy,Jack Russell Terrier,09/06/2017,Adopted,ACO Impound,08/29/2017,Yes,,8,,,
109094,Dog,Brutus,Chihuahua,09/06/2017,Adopted,ACO Impound,08/31/2017,Yes,,6,,,
108946,Dog,Peanut,Small Mix Breed,09/06/2017,Adopted,ACO Impound,08/27/2017,Yes,,10,,,
109260,Dog,Cody,Large Mix Breed,09/06/2017,Reclaimed,Stray,09/05/2017,,,1,,,
109105,Puppy,Kalista,Medium Mix Breed,09/06/2017,Adopted,Stray,08/31/2017,,09/05/2017,6,,,
109013,Dog,Goose,Beagle,09/06/2017,Adopted,Stray,08/29/2017,Yes,09/05/2017,8,,,
108931,Dog,Bertram,Yorkshire Terrier,09/06/2017,Adopted,Stray,08/27/2017,Yes,09/05/2017,10,,,
108938,Dog,Timber,Pomeranian,09/06/2017,Adopted,ACO Impound,08/27/2017,Yes,09/05/2017,10,,,
89032,Dog,Ivyn,Pit Bull,09/06/2017,Adopted,Returns,08/19/2017,Yes,03/18/2016,18,Too hyperactive,,
108920,Dog,Evan,Labrador,09/06/2017,Adopted,Stray,08/27/2017,Yes,09/01/2017,10,,,
109086,Dog,Jared,Terrier,09/06/2017,Adopted,Stray,08/31/2017,Yes,,6,,,
109028,Dog,Burger,Pit Bull,09/06/2017,Adopted,ACO Impound,08/29/2017,Yes,09/05/2017,8,,,
108824,Dog,Jojo,Pit Bull,09/06/2017,Adopted,ACO Impound,08/25/2017,Yes,08/30/2017,12,,,
109247,Dog,Cocoa,Labrador Retriever,09/06/2017,Reclaimed,ACO Impound,09/05/2017,,,1,,,
108986,Dog,Wednsesday,Small Mix Breed,09/06/2017,Adopted,ACO Impound,08/28/2017,Yes,09/05/2017,9,,,
108965,Dog,Bandit,Labrador,09/06/2017,Transfer Out,Owner Surrender,08/28/2017,,,9,Health of the caretaker - Elderly,,
109269,Dog,Fav,Pit Bull,09/06/2017,Reclaimed,ACO Impound,09/05/2017,,,1,,,
108966,Dog,Esme,Small Mix Breed,09/06/2017,Adopted,ACO Impound,08/28/2017,Yes,09/05/2017,9,,,
109096,Dog,Daisy,Beagle,09/06/2017,Adopted,Owner Surrender,08/31/2017,,,6,Moving - No pets allowed,,
109072,Dog,Maverick - Rescue Committed,Pit Bull,09/06/2017,Transfer Out,Stray,08/30/2017,Yes,,7,,,
109229,Dog,Candy,Pit Bull,09/06/2017,Reclaimed,ACO Impound,09/04/2017,,,2,,,
108918,Dog,Chubs,Small Terrier Mix,09/06/2017,Adopted,ACO Impound,08/27/2017,Yes,09/05/2017,10,,,
109222,Puppy,Kobe,Medium Mix Breed,09/06/2017,Reclaimed,ACO Impound,09/04/2017,,,2,,,
109296,Dog,Lilo,Chihuahua,09/06/2017,Euthanized,Euthanasia Request,09/06/2017,,,0,,Owner request -1,
109201,Puppy,Melo/fix,Pit Bull,09/06/2017,Reclaimed,Owner Surrender,09/03/2017,,09/06/2017,3,No time for animal,,
109113,Dog,Piper,Pit Bull,09/06/2017,Reclaimed,ACO Impound,09/01/2017,,,5,,Aggressive towards people-6,
109312,Puppy,,Pit Bull,09/06/2017,Euthanized,ACO Impound,09/06/2017,,,0,,Untreatable Terminal Illness-5,
90046,Dog,Roxi- Go Slow,Australian Cattledog,09/06/2017,Reclaimed,Returns,08/29/2017,Behaviour,04/11/2016,8,Health of the caretaker - Other,,
92343,Dog,Molly,Pit Bull,09/06/2017,Reclaimed,ACO Impound,08/30/2017,,,7,,,
109032,Puppy,Boris,Medium Mix Breed,09/06/2017,Adopted,ACO Impound,08/29/2017,,09/05/2017,8,,,
104499,Dog,Nahla,Pit Bull,09/06/2017,Transfer Out,Returns,08/25/2017,No,05/10/2017,12,Behavior towards people,Aggressive towards animals-6,
109012,Dog,Fiona -,Pit Bull,09/06/2017,Euthanized,Stray,08/29/2017,Rescue,,8,,Psychologically Suffering,
109137,Dog,Cat Food,Dachshund,09/06/2017,Euthanized,Owner Surrender,09/01/2017,,,5,MOVING,Failure to pass medical evaluation-5,
109313,Dog,,Pit Bull,09/06/2017,Seized Release,ACO Impound,09/06/2017,,,0,,,
109065,Dog,King,Pit Bull,09/07/2017,Adopted,Stray,08/30/2017,Yes,09/06/2017,8,,,
109100,Dog,Callie,"Corgi, Pembroke Welsh",09/07/2017,Adopted,ACO Impound,08/31/2017,Yes,,7,,,
109108,Dog,Gemma,Pit Bull,09/07/2017,Adopted,ACO Impound,08/31/2017,Yes,09/06/2017,7,,,
109130,Puppy,Remy,Hound,09/07/2017,Adopted,ACO Impound,09/01/2017,,09/06/2017,6,,,
108098,Dog,Gizmo,Small Mix Breed,09/07/2017,Adopted,ACO Impound,08/07/2017,Yes,08/25/2017,31,,,
109117,Puppy,Annie,Boxer,09/07/2017,Adopted,Stray,09/01/2017,,09/06/2017,6,,,
109043,Dog,Pumkin Spice,Small Mix Breed,09/07/2017,Adopted,Stray,08/30/2017,Yes,09/06/2017,8,,,
109209,Puppy,Rusty,Medium Mix Breed,09/07/2017,Reclaimed,ACO Impound,09/03/2017,,,4,,,
109335,Dog,Autumn,Silky Terrier,09/07/2017,Euthanized,Euthanasia Request,09/07/2017,,,0,,Owner request -1,
109328,Dog,Bear,Shepherd,09/07/2017,Euthanized,Euthanasia Request,09/07/2017,,,0,,Owner request -1,
109061,Dog,Coco,Pit Bull,09/07/2017,Adopted,ACO Impound,08/30/2017,Yes,09/06/2017,8,,,
108795,Dog,Mondo,Irish Wolfhound,09/07/2017,Adopted,Returns,09/06/2017,Yes,,1,Aggressive towards other animals,,
108982,Dog,Franklin,Pit Bull,09/07/2017,Adopted,ACO Impound,08/28/2017,Yes,09/05/2017,10,,,
109348,Dog,Neno,American Staffy,09/07/2017,Seized Release,ACO Impound,09/07/2017,,,0,,,
109037,Dog,Tex,Rhodesian Ridgeback,09/07/2017,Adopted,ACO Impound,08/30/2017,Yes,09/06/2017,8,,,
109346,Dog,Bell,Pit Bull,09/07/2017,Seized Release,ACO Impound,09/07/2017,,,0,,,
97697,Dog,Cooper,Jack Russell Terrier,09/07/2017,Adopted,Returns,08/26/2017,Yes,,12,Moving - No pets allowed,,
109045,Dog,Blanca,German Shepherd,09/07/2017,Adopted,Owner Surrender,08/30/2017,Yes,09/05/2017,8,MOVING,,
109123,Dog,Morgan,Pug,09/07/2017,Adopted,Owner Surrender,09/01/2017,Yes,,6,"FINANCIAL -- Cannot afford (food,",,
109101,Dog,Kash,Dachshund,09/07/2017,Adopted,ACO Impound,08/31/2017,Yes,,7,,,
108944,Dog,Christopher,Mini Pinscher,09/07/2017,Transfer Out,ACO Impound,08/27/2017,,,11,,,
109340,Puppy,,Pit Bull,09/07/2017,Euthanized,Stray,09/07/2017,,,0,,Untreatable Terminal Illness-5,
109356,Dog,Kane,Rottweiler,09/07/2017,Seized Release,ACO Impound,09/07/2017,,,0,,,
109357,Dog,Rosie,Rottweiler,09/07/2017,Seized Release,ACO Impound,09/07/2017,,,0,,,
109166,Dog,Roscoe,Mini Pinscher,09/08/2017,Reclaimed,ACO Impound,09/02/2017,,,6,,,
91158,Dog,Zeke,Labrador,09/08/2017,Reclaimed,ACO Impound,09/07/2017,,,1,MOVING,,
91158,Dog,Zeke,Labrador,09/08/2017,Reclaimed,Returns,09/08/2017,,,0,MOVING,,
109224,Puppy,Mia,Great Dane,09/08/2017,Reclaimed,ACO Impound,09/04/2017,,,4,,,
108591,Dog,Misty,Pit Bull,09/08/2017,Adopted,ACO Impound,08/19/2017,Yes,08/25/2017,20,,,
109056,Dog,Eddie,Hound,09/08/2017,Adopted,ACO Impound,08/30/2017,Yes,09/06/2017,9,,,
109367,Dog,Harley,Dachshund,09/08/2017,Euthanized,Euthanasia Request,09/08/2017,,,0,,Owner request -1,
109353,Puppy,,Medium Mix Breed,09/08/2017,Transfer Out,Stray,09/07/2017,,,1,,,
109362,Puppy,Humphrey,Medium Mix Breed,09/08/2017,Transfer Out,Stray,09/07/2017,,,1,,,
109376,Dog,Leuffy,Boxer,09/08/2017,Seized Release,ACO Impound,09/08/2017,,,0,,,
,,,,,,,,,,,,,
108985,Dog,Gomez,Dachshund,09/08/2017,Adopted,Stray,08/28/2017,Yes,09/05/2017,11,,,
109275,Dog,Princess,Large Mix Breed,09/08/2017,Reclaimed,Stray,09/05/2017,,,3,,,
109160,Dog,Ofp,Shih Tzu,09/08/2017,Transfer Out,Stray,09/02/2017,,,6,,,
97151,Dog,Diva/rescue Committed,Poodle Miniature,09/08/2017,Transfer Out,Returns,09/06/2017,Yes,,2,Not housebroken,,
109308,Dog,Max,Beagle,09/08/2017,Reclaimed,ACO Impound,09/06/2017,,,2,,,
108951,Dog,Calvin,Large Mix Breed,09/08/2017,Euthanized,Stray,08/27/2017,Yes,09/08/2017,12,,Failure to pass medical evaluation-5,
109189,Dog,Theodore- Rescue Committed,Boston Terrier,09/08/2017,Transfer Out,ACO Impound,09/03/2017,,,5,,,
