Animal ID,Type,Animal Name,Breed,Outgoing Date,Outgoing Status,Source,Source Date,Passed for Rehoming,Date Spay/Neutered,Days In Care,Surrender Reason,Primary Euthanasia Reason
110031,Dog,Fern,Medium Mix Breed,10/05/2017,Adopted,ACO Impound,09/29/2017,Yes,10/04/2017,6,,
110244,Puppy,,Labrador,10/05/2017,Euthanized,ACO Impound,10/05/2017,,,0,,Untreatable Terminal Injury-
110246,Dog,Kitara,Golden Retriever,10/05/2017,Seized Release,ACO Impound,10/05/2017,,,0,,
110247,Dog,Lexi,Beagle,10/05/2017,Seized Release,ACO Impound,10/05/2017,,,0,,
110162,Puppy,Diamond,Pit Bull,10/05/2017,Reclaimed,Stray,10/03/2017,,,2,,
110163,Puppy,Loyalty,Pit Bull,10/05/2017,Reclaimed,Stray,10/03/2017,,,2,,
42149,Dog,Oreo/rescue Committed,Boston Terrier,10/05/2017,Transfer Out,ACO Impound,09/26/2017,,,9,,
110239,Puppy,Mario,Pit Bull,10/05/2017,Reclaimed,ACO Impound,10/05/2017,,,0,,
109469,Dog,Kala,Pit Bull,10/05/2017,Euthanized,ACO Impound,09/11/2017,Yes,09/18/2017,24,,Aggressive towards
53562,Dog,Fix Blue,Siberian Husky,10/05/2017,Euthanized,Euthanasia Request,10/04/2017,,11/08/2013,1,Biter,Owner request -1
110229,Dog,,English Bulldog,10/05/2017,Euthanized,ACO Impound,10/05/2017,,,0,,Untreatable Terminal Injury-
109657,Dog,Tiny - Use Caution,Pit Bull,10/05/2017,Euthanized,Owner Surrender,09/18/2017,Yes,09/25/2017,17,,Aggressive towards people-
110254,Dog,Chance,Boxer,10/05/2017,Euthanized,Euthanasia Request,10/05/2017,,,0,Advanced Age,Owner request -1
110255,Dog,optimus,Pit Bull,10/05/2017,Euthanized,Euthanasia Request,10/05/2017,,,0,,Owner request -1
110256,Dog,Miley,Large Mix Breed,10/06/2017,Reclaimed,Stray,10/05/2017,,,1,,
110258,Dog,Ziva,Labrador,10/06/2017,Reclaimed,ACO Impound,10/05/2017,,,1,,
110268,Dog,Spots,Shih Tzu,10/06/2017,Euthanized,Euthanasia Request,10/06/2017,,,0,,Owner request -1
110037,Dog,Buckeye,Pug,10/06/2017,Adopted,Stray,09/29/2017,Yes,,7,,
110267,Dog,Choochoo,Shih Tzu,10/06/2017,Euthanized,Euthanasia Request,10/06/2017,,,0,Advanced Age,Owner request -1
87790,Dog,Babygirl- Needs Pulled By 10/06,Medium Mix Breed,10/06/2017,Transfer Out,ACO Impound,09/25/2017,,,11,,Aggressive towards people-
110145,Dog,Rosie - Needs Pulled By 10/06,Small Mix Breed,10/06/2017,Transfer Out,Euthanasia Request,10/02/2017,,,4,,Owner request -1
106128,Dog,Chopper,Pit Bull,10/06/2017,Seized Release,ACO Impound,10/06/2017,Yes,06/26/2017,0,Health of the caretaker -,
110253,Dog,,Small Mix Breed,10/06/2017,Euthanized,ACO Impound,10/05/2017,,,1,,Failure to pass medical
110285,Puppy,,Pit Bull,10/06/2017,Euthanized,Stray,10/06/2017,,,0,,Failure to pass medical
110172,Dog,Harley,German Shepherd,10/06/2017,Reclaimed,Stray,10/03/2017,,01/18/2012,3,,
109906,Dog,Hale,Dachshund,10/06/2017,Adopted,ACO Impound,09/25/2017,Yes,10/02/2017,11,,
110250,Dog,Duke,"Schnauzer, Miniature",10/06/2017,Reclaimed,ACO Impound,10/05/2017,,,1,,
108888,Dog,Fudge,Dogue De Bordeaux,10/06/2017,Adopted,Returns,09/06/2017,Yes,09/01/2017,30,,
109503,Dog,Domino,Medium Mix Breed,10/06/2017,Adopted,Stray,09/12/2017,Behaviour,09/18/2017,24,,
110259,Dog,Kilo,Pit Bull,10/06/2017,Reclaimed,ACO Impound,10/06/2017,,,0,,
109835,Dog,,Medium Mix Breed,10/06/2017,Euthanized,ACO Impound,09/23/2017,,,13,,History of biting-6
110297,Puppy,Pup 5,Pit Bull,10/07/2017,Unassisted Death,Shelter Offspring,10/06/2017,,,1,,
110108,Dog,Veronica,Beagle,10/07/2017,Adopted,Stray,10/01/2017,Yes,10/06/2017,6,,
110308,Dog,Buddha,Siberian Husky,10/07/2017,Reclaimed,ACO Impound,10/06/2017,,,1,,
110092,Dog,Vinny,Poodle Miniature,10/07/2017,Adopted,Stray,10/01/2017,Yes,10/06/2017,6,,
110307,Puppy,Luna,Medium Mix Breed,10/07/2017,Reclaimed,ACO Impound,10/06/2017,,,1,,
108987,Dog,Johnny Bravo,Pit Bull,10/07/2017,Adopted,ACO Impound,08/28/2017,Yes,09/05/2017,40,,
110101,Puppy,Athena,Great Dane,10/07/2017,Adopted,Stray,10/01/2017,,10/06/2017,6,,
109944,Dog,Amory,Medium Mix Breed,10/07/2017,Adopted,ACO Impound,09/26/2017,Yes,10/02/2017,11,,
110273,Dog,Conja,Shepherd,10/07/2017,Reclaimed,ACO Impound,10/06/2017,,,1,,
109647,Dog,Iris,Beagle,10/07/2017,Adopted,Owner Surrender,09/17/2017,Yes,,20,Homeless,
110118,Dog,Freckles,Pit Bull,10/07/2017,Adopted,ACO Impound,10/02/2017,Yes,10/06/2017,5,,
56857,Dog,Muffin,Small Mix Breed,10/07/2017,Reclaimed,ACO Impound,10/07/2017,,,0,,
,,,,,,,,,,,,
110132,Puppy,Beans,Blue Heeler,10/07/2017,Adopted,Stray,10/02/2017,,10/06/2017,5,,
110330,Dog,Elvis,Shetland Sheep Dog,10/07/2017,Euthanized,Euthanasia Request,10/07/2017,,,0,,Owner request -1
105254,Dog,Leo,Labrador,10/07/2017,Adopted,Returns,09/28/2017,Yes,05/31/2017,9,,
109787,Dog,Larson,Shepherd,10/07/2017,Transfer Out,ACO Impound,09/21/2017,Yes,10/02/2017,16,,
110105,Dog,Betsy,Staffordshire Bull Terrier,10/07/2017,Adopted,ACO Impound,10/01/2017,Yes,10/06/2017,6,,
110332,Dog,Cholo,Chihuahua,10/07/2017,Seized Release,ACO Impound,10/07/2017,,,0,,
109663,Dog,Karla,Pit Bull,10/07/2017,Adopted,Stray,09/18/2017,Yes,09/22/2017,19,,
110147,Dog,Ritzy,Chihuahua,10/07/2017,Adopted,Stray,10/02/2017,Yes,,5,,
110333,Dog,Lp,Medium Mix Breed,10/07/2017,Euthanized,Euthanasia Request,10/07/2017,,,0,,Owner request -1
103429,Dog,Reuben,Medium Mix Breed,10/07/2017,Adopted,Returns,10/02/2017,Yes,04/10/2017,5,,
110326,Dog,,Shih Tzu,10/07/2017,Seized Release,ACO Impound,10/07/2017,,,0,,
110083,Dog,Bonnie,Australian Cattledog,10/07/2017,Adopted,ACO Impound,09/30/2017,Yes,,7,,
91260,Dog,Gabby,Pit Bull,10/07/2017,Adopted,Returns,08/29/2017,Yes,05/11/2016,39,Destructive tendencies -,
109927,Puppy,Empress,Shepherd,10/07/2017,Adopted,ACO Impound,09/26/2017,Yes,10/06/2017,11,,
110119,Dog,Rocky,Boxer,10/07/2017,Adopted,Stray,10/02/2017,Yes,,5,,
110125,Dog,Lexi,Pit Bull,10/07/2017,Adopted,Stray,10/02/2017,,10/06/2017,5,,
110312,Dog,Grismen Jones,Large Mix Breed,10/07/2017,Reclaimed,ACO Impound,10/07/2017,,,0,,
105041,Dog,Blythe,Pit Bull,10/07/2017,Adopted,Returns,09/25/2017,Yes,05/26/2017,12,,
110336,Dog,Nutmeg,Poodle Miniature,10/07/2017,Reclaimed,Stray,10/07/2017,,,0,,
110342,Dog,Beauty,Labrador,10/07/2017,Euthanized,Euthanasia Request,10/07/2017,,,0,,Owner request -1
108462,Dog,Shadow,Pit Bull,10/07/2017,Euthanized,Euthanasia Request,10/07/2017,,,0,,Owner request -1
110346,Dog,,Pit Bull,10/07/2017,Euthanized,Euthanasia Request,10/07/2017,,,0,Biter,Owner request -1
39129,Dog,Droog,Samoyed,10/08/2017,Transfer Out,ACO Impound,09/29/2017,,,9,,
39130,Dog,Caz,Samoyed,10/08/2017,Transfer Out,ACO Impound,09/29/2017,,,9,,
110350,Dog,Casper,Pit Bull,10/08/2017,Euthanized,Stray,10/08/2017,,,0,,Untreatable Terminal Illness-
109967,Dog,Bosco,Cane Corso,10/08/2017,Seized Release,ACO Impound,10/08/2017,,,0,,
53813,Dog,Chestnut,Border Collie,10/08/2017,Adopted,Owner Surrender,05/16/2017,Yes,,145,Health of the caretaker -,
110148,Dog,Schmitty,Pit Bull,10/08/2017,Adopted,ACO Impound,10/02/2017,Yes,10/06/2017,6,,
107290,Dog,Brynn,Chihuahua,10/08/2017,Adopted,ACO Impound,07/17/2017,Yes,07/31/2017,83,,
108760,Dog,Harper,Small Mix Breed,10/08/2017,Adopted,ACO Impound,08/23/2017,,09/21/2017,46,,
110334,Dog,Charcoal,Labrador,10/08/2017,Reclaimed,ACO Impound,10/07/2017,,,1,,
108815,Puppy,Ellie,Beagle,10/08/2017,Adopted,Stray,08/24/2017,,10/05/2017,45,,Untreatable Terminal Illness-
109146,Puppy,Debo,German Shepherd,10/08/2017,Adopted,Stray,09/01/2017,,09/21/2017,37,,
97487,Dog,Millie,Medium Mix Breed,10/08/2017,Adopted,Stray,10/23/2016,Yes,,350,,
109831,Dog,Charlie,Pit Bull,10/08/2017,Adopted,ACO Impound,09/23/2017,Yes,09/29/2017,15,,
110362,Dog,,Pit Bull,10/08/2017,Euthanized,ACO Impound,10/08/2017,,,0,,Failure to pass medical
110364,Dog,Madison,Corgie,10/08/2017,Euthanized,Euthanasia Request,10/08/2017,,,0,,Owner request -1
110368,Dog,Rusty,Large Mix Breed,10/08/2017,Euthanized,Euthanasia Request,10/08/2017,,,0,,Owner request -1
110143,Dog,Kyle,Boxer,10/08/2017,Transfer Out,Stray,10/02/2017,Behaviour,,6,,
109939,Dog,Amy,Pit Bull,10/08/2017,Adopted,ACO Impound,09/26/2017,Yes,10/02/2017,12,,
110067,Dog,Mags,Beagle,10/08/2017,Adopted,ACO Impound,09/30/2017,Yes,10/04/2017,8,,
110086,Dog,Caramel,Pit Bull,10/08/2017,Adopted,ACO Impound,10/01/2017,Yes,10/06/2017,7,,
110371,Dog,Takoda,Olde English Bulldogge,10/08/2017,Euthanized,Euthanasia Request,10/08/2017,,,0,,Owner request -1
110133,Dog,Terry,Medium Mix Breed,10/08/2017,Adopted,ACO Impound,10/02/2017,Yes,10/06/2017,6,,
105111,Dog,Larry - Rescue Committed,Large Mix Breed,10/08/2017,Transfer Out,Returns,06/08/2017,Yes,05/26/2017,122,,
109805,Dog,Jenna,Pit Bull,10/08/2017,Adopted,ACO Impound,09/22/2017,Yes,09/27/2017,16,,
110149,Puppy,Lizzy,Pit Bull,10/08/2017,Adopted,ACO Impound,10/02/2017,,10/06/2017,6,,
110367,Dog,Sissy,Pit Bull,10/08/2017,Seized Release,ACO Impound,10/08/2017,,,0,,
109940,Puppy,Benz,Large Mix Breed,10/08/2017,Adopted,Stray,09/26/2017,,10/02/2017,12,,
110154,Dog,Xena,Pit Bull,10/08/2017,Reclaimed,ACO Impound,10/03/2017,Yes,,5,,
110291,Puppy,Pup 1,Pit Bull,10/08/2017,Reclaimed,Shelter Offspring,10/06/2017,,,2,,
110292,Puppy,Pup 2,Pit Bull,10/08/2017,Reclaimed,Shelter Offspring,10/06/2017,,,2,,
110294,Puppy,Pup 3,Pit Bull,10/08/2017,Reclaimed,Shelter Offspring,10/06/2017,,,2,,
110296,Puppy,Pup 4,Pit Bull,10/08/2017,Reclaimed,Shelter Offspring,10/06/2017,,,2,,
110374,Puppy,Bentley,Maltese,10/08/2017,Seized Release,ACO Impound,10/08/2017,,,0,,
97051,Dog,Elphie,Medium Mix Breed,10/08/2017,Seized Release,ACO Impound,10/08/2017,,,0,,
110386,Dog,Max,Beagle,10/09/2017,Seized Release,ACO Impound,10/09/2017,,,0,,
110382,Dog,,Yorkshire Terrier,10/09/2017,Euthanized,Stray,10/09/2017,,,0,,Untreatable Terminal Illness-
110381,Dog,,Chow Chow,10/09/2017,Euthanized,Stray,10/09/2017,,,0,,Failure to pass medical
110389,Dog,Daisy,Medium Mix Breed,10/09/2017,Seized Release,ACO Impound,10/09/2017,,,0,,
110392,Dog,Trina,Small Mix Breed,10/10/2017,Reclaimed,Stray,10/09/2017,,,1,,
110378,Dog,Captain,Small Mix Breed,10/10/2017,Reclaimed,ACO Impound,10/09/2017,,,1,,
109364,Dog,Jazzi,Beagle,10/10/2017,Adopted,ACO Impound,09/08/2017,Yes,07/07/2014,32,,
95439,Dog,Cooper,Medium Mix Breed,10/10/2017,Reclaimed,Returns,10/05/2017,Yes,09/06/2016,5,,
109992,Dog,Corwin,Australian Cattledog,10/10/2017,Adopted,ACO Impound,09/28/2017,Yes,10/02/2017,12,,
110396,Dog,Ace,Shih Tzu,10/10/2017,Reclaimed,ACO Impound,10/09/2017,,,1,,
101384,Dog,Lucky,Medium Mix Breed,10/10/2017,Seized Release,ACO Impound,10/09/2017,,,1,,Aggressive towards people-
110414,Dog,,Pit Bull,10/10/2017,Euthanized,ACO Impound,10/10/2017,,,0,,Untreatable Terminal Illness-
109832,Dog,Chandler,Pit Bull,10/10/2017,Adopted,ACO Impound,09/23/2017,Yes,09/29/2017,17,,
108467,Dog,Gracie,Small Terrier Mix,10/10/2017,Adopted,Returns,10/06/2017,Yes,08/23/2017,4,,
109013,Dog,Goose,Beagle,10/10/2017,Adopted,Returns,10/07/2017,Yes,09/05/2017,3,,
109947,Dog,Chasey - Rescue Committed,Bull Terrier,10/10/2017,Transfer Out,Owner Surrender,09/26/2017,Rescue,,14,Not good with resident,
,,,,,,,,,,,,
110398,Dog,Ashley,German Shepherd,10/10/2017,Reclaimed,Stray,10/09/2017,,,1,,
110421,Dog,Buddha,Siberian Husky,10/10/2017,Reclaimed,Stray,10/10/2017,,,0,,
110230,Dog,,French Bulldog,10/10/2017,Transfer Out,ACO Impound,10/05/2017,,,5,,
60836,Dog,Lola,Pekingese,10/10/2017,Adopted,ACO Impound,10/04/2017,Yes,04/28/2014,6,,
110120,Dog,Elma - Rescue Committed,Small Mix Breed,10/10/2017,Transfer Out,ACO Impound,10/02/2017,,,8,,
102781,Dog,Snow White,Pit Bull,10/10/2017,Adopted,Returns,09/15/2017,Yes,03/20/2017,25,,
110045,Dog,Lady,Hound,10/10/2017,Adopted,Stray,09/29/2017,Yes,10/04/2017,11,,
110181,Puppy,Dawn- Rescue Committed,Hound,10/10/2017,Transfer Out,ACO Impound,10/03/2017,,,7,,
104338,Dog,Thor- Rescue Committed,Pit Bull,10/10/2017,Transfer Out,Returns,09/10/2017,Yes,05/03/2017,30,,
110182,Puppy,Dusk- Rescue Committed,Hound,10/10/2017,Transfer Out,ACO Impound,10/03/2017,,,7,,
93105,Dog,Desmond,Medium Mix Breed,10/10/2017,Adopted,Returns,09/19/2017,Yes,06/27/2016,21,No time for animal,
110341,Dog,Jesse,Shih Tzu,10/10/2017,Reclaimed,ACO Impound,10/07/2017,,,3,,
104620,Dog,Juneau,Hound,10/10/2017,Adopted,Returns,09/11/2017,Yes,05/12/2017,29,Aggressive towards other,
110444,Dog,,Yorkshire Terrier,10/10/2017,Euthanized,Euthanasia Request,10/10/2017,,,0,Health of the animal -,Owner request -1
110111,Dog,Zorro,Shiba Inu,10/10/2017,Adopted,ACO Impound,10/01/2017,Yes,10/06/2017,9,,
109385,Dog,Lady,Large Mix Breed,10/10/2017,Adopted,ACO Impound,09/08/2017,Yes,,32,,
110054,Dog,Bentley,Large Mix Breed,10/10/2017,Adopted,Stray,09/29/2017,Yes,10/04/2017,11,,
110260,Dog,Kado,Pit Bull,10/10/2017,Reclaimed,ACO Impound,10/06/2017,Yes,11/20/2017,4,,
